,entity_index,entity_name,cui,cui_name
44422,44422,L-lysine transport,C1159486,L-lysine transport
44423,44423,rhamnogalacturonan I,C0073164,rhamnogalacturonan I
44424,44424,polysaccharide,C0032594,Polysaccharides
44425,44425,negative,C0205160,Negative
44426,44426,positive,C1446409,Positive
44427,44427,negative,C0205160,Negative
44428,44428,regulation,C0851285,Regulation
44429,44429,negative,C0205160,Negative
44430,44430,negative,C0205160,Negative
44431,44431,negative,C0205160,Negative
44432,44432,cold,C0009264,Cold Temperature
44433,44433,temperature,C0005903,Body Temperature
44434,44434,adaptive thermogenesis,C4235304,Adaptive Thermogenesis
44435,44435,L-cysteine,C0010654,cysteine
44436,44436,ATP,C0001480,adenosine triphosphate
44437,44437,glucose catabolic,C1156395,glucose catabolic process
44438,44438,glyceraldehyde-3-phosphate,C0017855,Glyceraldehyde 3-Phosphate
44439,44439,isopentenyl diphosphate,C0064030,isopentenyl pyrophosphate
44440,44440,L-alanine,C0001898,alanine
44441,44441,glycerol,C0017861,glycerin
44442,44442,lactate biosynthetic process,C1157710,lactate biosynthetic process
44443,44443,catabolic,C0311402,catabolic
44444,44444,oxaloacetate,C0029989,Oxaloacetates
44445,44445,dorsal/ventral pattern formation,C1160449,Dorsal-Ventral Pattern Formation
44446,44446,imaginal,C0011923,Diagnostic Imaging
44447,44447,purinergic nucleotide receptor signaling pathway,C3158765,purinergic nucleotide receptor signaling pathway
44448,44448,acetylcholine receptor signaling pathway,C4236757,acetylcholine receptor signaling pathway
44449,44449,phototransduction,C0376451,Light Signal Transduction
44450,44450,cellular response,C4327509,cellular response to phosphatidylethanolamine
44451,44451,glutamate receptor,C0061465,Glutamate Receptor
44452,44452,signal transduction,C0037083,Signal Transduction
44453,44453,sphingolipid,C0037900,Sphingolipids
44454,44454,serotonin receptor,C0034838,serotonin receptor
44455,44455,complement receptor,C0034793,Complement Receptor
44456,44456,septin,C2936338,Septins
44457,44457,pore complex,C1325742,Pore
44458,44458,myosin filament,C2246364,myosin filament
44459,44459,kinetochore,C0242609,Kinetochores
44460,44460,protein-lipid complex,C2246377,protein-lipid complex
44461,44461,activation,C1879547,Activation action
44462,44462,intestinal,C0021853,Intestines
44463,44463,extracellular transport,C1159568,extracellular transport
44464,44464,positive,C1446409,Positive
44465,44465,regulation,C0851285,Regulation
44466,44466,modulation,C0443264,Modulated
44467,44467,negative,C0205160,Negative
44468,44468,mitigation,C1553901,Mitigate
44469,44469,suppression,C0221103,Visual Suppression
44470,44470,induction,C0205263,Induce (action)
44471,44471,negative,C0205160,Negative
44472,44472,suppression,C0221103,Visual Suppression
44473,44473,negative,C0205160,Negative
44474,44474,L-dopa,C0023570,levodopa
44475,44475,alpha-amino acid,C3547144,alpha-amino acid biosynthetic process
44476,44476,pressure natriuresis,C2256465,pressure natriuresis
44477,44477,positive,C1446409,Positive
44478,44478,positive,C1446409,Positive
44479,44479,regulation,C0851285,Regulation
44480,44480,positive,C1446409,Positive
44481,44481,negative,C0205160,Negative
44482,44482,vasodilation,C0042401,Vasodilation
44483,44483,negative,C0205160,Negative
44484,44484,modulation,C0443264,Modulated
44485,44485,regulation,C0851285,Regulation
44486,44486,positive,C1446409,Positive
44487,44487,negative,C0205160,Negative
44488,44488,positive,C1446409,Positive
44489,44489,positive,C1446409,Positive
44490,44490,positive,C1446409,Positive
44491,44491,positive,C1446409,Positive
44492,44492,positive,C1446409,Positive
44493,44493,regulation,C0851285,Regulation
44494,44494,response,C0871261,Response process
44495,44495,cellular response,C4327509,cellular response to phosphatidylethanolamine
44496,44496,equatorial,C0014651,Equatorial Guinea
44497,44497,actomyosin contractile ring organization,C3820814,actomyosin contractile ring organization
44498,44498,regulation,C0851285,Regulation
44499,44499,regulation,C0851285,Regulation
44500,44500,regulation,C0851285,Regulation
44501,44501,negative,C0205160,Negative
44502,44502,positive,C1446409,Positive
44503,44503,regulation,C0851285,Regulation
44504,44504,serine family,C0015576,Family
44505,44505,isoleucine,C0022192,isoleucine
44506,44506,branched-chain,C0002521,"Amino Acids, Branched-Chain"
44507,44507,isobutanol,C0063922,isobutyl alcohol
44508,44508,N-alpha,,
44509,44509,citrulline,C0008864,citrulline
44510,44510,"N(omega),N(omega)-dimethyl-L-arginine",C3271080,"N(omega),N(omega)-dimethyl-L-arginine metabolic process"
44511,44511,tyrosine,C0041485,tyrosine
44512,44512,pyruvate family,C0034354,Pyruvates
44513,44513,family,C0015576,Family
44514,44514,glutamine,C0017797,glutamine
44515,44515,regulation,C0851285,Regulation
44516,44516,positive,C1446409,Positive
44517,44517,positive,C1446409,Positive
44518,44518,negative,C0205160,Negative
44519,44519,negative,C0205160,Negative
44520,44520,response,C0871261,Response process
44521,44521,stilbenoid,C0038333,Stilbenes
44522,44522,response,C0871261,Response process
44523,44523,abiotic stimulus,C1154584,detection of abiotic stimulus
44524,44524,floral organ,C1522964,floral organ formation
44525,44525,positive,C1446409,Positive
44526,44526,regulation,C0851285,Regulation
44527,44527,regulation,C0851285,Regulation
44528,44528,positive,C1446409,Positive
44529,44529,positive,C1446409,Positive
44530,44530,regulation,C0851285,Regulation
44531,44531,regulation,C0851285,Regulation
44532,44532,positive,C1446409,Positive
44533,44533,regulation,C0851285,Regulation
44534,44534,Golgi calcium ion transmembrane transport,C4329061,Golgi calcium ion transmembrane transport
44535,44535,positive,C1446409,Positive
44536,44536,regulation,C0851285,Regulation
44537,44537,regulation,C0851285,Regulation
44538,44538,regulation,C0851285,Regulation
44539,44539,positive,C1446409,Positive
44540,44540,positive,C1446409,Positive
44541,44541,morphogenesis,C0026559,Morphogenesis
44542,44542,negative,C0205160,Negative
44543,44543,regulation,C0851285,Regulation
44544,44544,negative,C0205160,Negative
44545,44545,macrophage,C0024432,macrophage
44546,44546,extracellular polysaccharide,C0296953,extracellular polysaccharide 6
44547,44547,capsule organization,C1156157,capsule organization
44548,44548,slime layer,C1167353,slime layer
44549,44549,vesicle tethering,C4328832,vesicle tethering
44550,44550,ribonucleoprotein complex,C1167298,ribonucleoprotein complex location
44551,44551,regulation,C0851285,Regulation
44552,44552,positive,C1446409,Positive
44553,44553,regulation,C0851285,Regulation
44554,44554,regulation,C0851285,Regulation
44555,44555,positive,C1446409,Positive
44556,44556,positive,C1446409,Positive
44557,44557,modulation,C0443264,Modulated
44558,44558,modulation,C0443264,Modulated
44559,44559,regulation,C0851285,Regulation
44560,44560,regulation,C0851285,Regulation
44561,44561,modulation,C0443264,Modulated
44562,44562,suppression,C0221103,Visual Suppression
44563,44563,modulation,C0443264,Modulated
44564,44564,regulation,C0851285,Regulation
44565,44565,positive,C1446409,Positive
44566,44566,modulation,C0443264,Modulated
44567,44567,modulation,C0443264,Modulated
44568,44568,modulation,C0443264,Modulated
44569,44569,regulation,C0851285,Regulation
44570,44570,modulation,C0443264,Modulated
44571,44571,modulation,C0443264,Modulated
44572,44572,modulation,C0443264,Modulated
44573,44573,regulation,C0851285,Regulation
44574,44574,evasion,C1654934,Immune Evasion
44575,44575,ADP,C0001459,Adenosine Diphosphate
44576,44576,dorsal fin morphogenesis,C1523594,dorsal fin morphogenesis
44577,44577,post-embryonic,C1160453,post-embryonic development
44578,44578,embryonic,C0013935,Embryo
44579,44579,regulation,C0851285,Regulation
44580,44580,negative,C0205160,Negative
44581,44581,positive,C1446409,Positive
44582,44582,negative,C0205160,Negative
44583,44583,negative,C0205160,Negative
44584,44584,anaphase,C0002788,Mitotic Anaphase
44585,44585,meiosis II,C1155830,meiosis II
44586,44586,meiosis I,C1155812,meiosis I
44587,44587,regulation,C0851285,Regulation
44588,44588,positive,C1446409,Positive
44589,44589,positive,C1446409,Positive
44590,44590,ncRNA,C0887909,"RNA, Untranslated"
44591,44591,snRNA,C0035709,Small Nuclear RNA
44592,44592,sno(s)RNA,C1523790,sno(s)RNA processing
44593,44593,tRNA,C0035711,Transfer RNA
44594,44594,rRNA,C0035701,Ribosomal RNA
44595,44595,heme,C0018966,Heme
44596,44596,protein initiator,C1444748,Triggered by
44597,44597,regulation,C0851285,Regulation
44598,44598,negative,C0205160,Negative
44599,44599,positive,C1446409,Positive
44600,44600,glucose import,C1159527,glucose uptake
44601,44601,import,C0699788,Import
44602,44602,monosaccharide,C0026492,Monosaccharides
44603,44603,central nervous system projection neuron,C1818526,central nervous system projection neuron axonogenesis
44604,44604,hematopoietic,C0229601,Hematopoietic
44605,44605,adenylate,C0597765,Adenylate
44606,44606,G protein-coupled receptor signaling pathway,C1517369,GPCR Signaling Pathway
44607,44607,regulation,C0851285,Regulation
44608,44608,regulation,C0851285,Regulation
44609,44609,positive,C1446409,Positive
44610,44610,negative,C0205160,Negative
44611,44611,cellular lipid biosynthetic process,C3548462,cellular lipid biosynthetic process
44612,44612,phytosteroid,C0031866,phytosterols
44613,44613,sterol,C0038323,Sterols
44614,44614,ergosterol,C0014705,Ergosterol
44615,44615,glycerol,C0017861,glycerin
44616,44616,regulation,C0851285,Regulation
44617,44617,negative,C0205160,Negative
44618,44618,pyrimidine,C0034284,Pyrimidine
44619,44619,pyrimidine,C0034284,Pyrimidine
44620,44620,deoxyribonucleoside,C0011528,Deoxyribonucleosides
44621,44621,pyrimidine ribonucleoside,C2245751,pyrimidine ribonucleoside binding
44622,44622,ribonucleoside diphosphate,C1157641,ribonucleoside diphosphate biosynthetic process
44623,44623,prenylcysteine,C2717665,prenylcysteine
44624,44624,pteridine-containing compound,C1157037,pteridine-containing compound biosynthetic process
44625,44625,glycerophospholipid,C0162448,Glycerophospholipids
44626,44626,D-amino acid,C1156618,D-amino acid biosynthetic process
44627,44627,metabolic,C0311400,Metabolic
44628,44628,xanthine,C0043314,xanthine
44629,44629,purine,C0034140,Purines
44630,44630,purine,C0034140,Purines
44631,44631,metabolic,C0311400,Metabolic
44632,44632,teichoic acid,C0039444,Teichoic Acids
44633,44633,catabolism,C0543484,catabolic aspects
44634,44634,protein glycosylation,C0376322,Protein Glycosylation
44635,44635,mannosylation,C3821096,mannosylation
44636,44636,regulation,C0851285,Regulation
44637,44637,negative,C0205160,Negative
44638,44638,negative,C0205160,Negative
44639,44639,regulation,C0851285,Regulation
44640,44640,regulation,C0851285,Regulation
44641,44641,negative,C0205160,Negative
44642,44642,regulation,C0851285,Regulation
44643,44643,regulation,C0851285,Regulation
44644,44644,negative,C0205160,Negative
44645,44645,leukocyte,C0023516,Leukocytes
44646,44646,neutrophil,C0027950,neutrophil
44647,44647,natural killer cell,C0022688,Natural Killer Cells
44648,44648,myeloid,C0439677,Myeloid
44649,44649,IIa,C0025268,Multiple Endocrine Neoplasia Type 2a
44650,44650,T cell,C0039194,T-Lymphocyte
44651,44651,inflammatory response,C1155266,Inflammatory Response
44652,44652,acute,C0205178,acute
44653,44653,chronic inflammatory response,C1817997,chronic inflammatory response
44654,44654,regulation,C0851285,Regulation
44655,44655,regulation,C0851285,Regulation
44656,44656,regulation,C0851285,Regulation
44657,44657,regulation,C0851285,Regulation
44658,44658,regulation,C0851285,Regulation
44659,44659,positive,C1446409,Positive
44660,44660,regulation,C0851285,Regulation
44661,44661,mating,C1260875,mating
44662,44662,negative,C0205160,Negative
44663,44663,regulation,C0851285,Regulation
44664,44664,regulation,C0851285,Regulation
44665,44665,homeostatic process,C0019868,Homeostasis
44666,44666,signaling,C0037083,Signal Transduction
44667,44667,regulation,C0851285,Regulation
44668,44668,behavior,C0004927,Behavior
44669,44669,reproduction,C0035150,Reproduction
44670,44670,biological,C0005532,biology (field)
44671,44671,response,C0871261,Response process
44672,44672,secretion,C0036536,Process of secretion
44673,44673,maintenance,C0024501,Maintenance
44674,44674,gene expression,C0017262,Gene Expression
44675,44675,regulation,C0851285,Regulation
44676,44676,negative,C0205160,Negative
44677,44677,B cell,C0004561,B-Lymphocytes
44678,44678,B cell,C0004561,B-Lymphocytes
44679,44679,peripheral tolerance,C3179073,Peripheral Tolerance
44680,44680,regulation,C0851285,Regulation
44681,44681,pigment,C0031916,Pigment
44682,44682,anthocyanin-containing compound,C1157016,anthocyanin-containing compound metabolic process
44683,44683,pigment,C0031916,Pigment
44684,44684,protein,C0033684,Proteins
44685,44685,regulation,C0851285,Regulation
44686,44686,regulation,C0851285,Regulation
44687,44687,regulation,C0851285,Regulation
44688,44688,regulation,C0851285,Regulation
44689,44689,regulation,C0851285,Regulation
44690,44690,regulation,C0851285,Regulation
44691,44691,regulation,C0851285,Regulation
44692,44692,regulation,C0851285,Regulation
44693,44693,regulation,C0851285,Regulation
44694,44694,regulation,C0851285,Regulation
44695,44695,regulation,C0851285,Regulation
44696,44696,modulation,C0443264,Modulated
44697,44697,regulation,C0851285,Regulation
44698,44698,regulation,C0851285,Regulation
44699,44699,regulation,C0851285,Regulation
44700,44700,regulation,C0851285,Regulation
44701,44701,regulation,C0851285,Regulation
44702,44702,regulation,C0851285,Regulation
44703,44703,regulation,C0851285,Regulation
44704,44704,regulation,C0851285,Regulation
44705,44705,regulation,C0851285,Regulation
44706,44706,regulation,C0851285,Regulation
44707,44707,regulation,C0851285,Regulation
44708,44708,regulation,C0851285,Regulation
44709,44709,regulation,C0851285,Regulation
44710,44710,regulation,C0851285,Regulation
44711,44711,regulation,C0851285,Regulation
44712,44712,regulation,C0851285,Regulation
44713,44713,regulation,C0851285,Regulation
44714,44714,regulation,C0851285,Regulation
44715,44715,regulation,C0851285,Regulation
44716,44716,regulation,C0851285,Regulation
44717,44717,regulation,C0851285,Regulation
44718,44718,induction,C0205263,Induce (action)
44719,44719,regulation,C0851285,Regulation
44720,44720,regulation,C0851285,Regulation
44721,44721,regulation,C0851285,Regulation
44722,44722,regulation,C0851285,Regulation
44723,44723,regulation,C0851285,Regulation
44724,44724,regulation,C0851285,Regulation
44725,44725,regulation,C0851285,Regulation
44726,44726,regulation,C0851285,Regulation
44727,44727,regulation,C0851285,Regulation
44728,44728,regulation,C0851285,Regulation
44729,44729,regulation,C0851285,Regulation
44730,44730,regulation,C0851285,Regulation
44731,44731,regulation,C0851285,Regulation
44732,44732,regulation,C0851285,Regulation
44733,44733,regulation,C0851285,Regulation
44734,44734,positive,C1446409,Positive
44735,44735,positive,C1446409,Positive
44736,44736,negative,C0205160,Negative
44737,44737,negative,C0205160,Negative
44738,44738,glutamate,C0017789,Glutamates
44739,44739,short-chain fatty acid,C0015691,"Fatty Acids, Volatile"
44740,44740,flavone,C0016219,Flavones
44741,44741,lipoxin,C0599689,Lipoxins
44742,44742,terminal,C0205088,End-stage
44743,44743,cellular glucuronidation,C3268391,cellular glucuronidation
44744,44744,negative,C0205160,Negative
44745,44745,negative,C0205160,Negative
44746,44746,regulation,C0851285,Regulation
44747,44747,negative,C0205160,Negative
44748,44748,negative,C0205160,Negative
44749,44749,regulation,C0851285,Regulation
44750,44750,regulation,C0851285,Regulation
44751,44751,negative,C0205160,Negative
44752,44752,regulation,C0851285,Regulation
44753,44753,regulation,C0851285,Regulation
44754,44754,regulation,C0851285,Regulation
44755,44755,negative,C0205160,Negative
44756,44756,negative,C0205160,Negative
44757,44757,regulation,C0851285,Regulation
44758,44758,regulation,C0851285,Regulation
44759,44759,regulation,C0851285,Regulation
44760,44760,regulation,C0851285,Regulation
44761,44761,modulation,C0443264,Modulated
44762,44762,regulation,C0851285,Regulation
44763,44763,regulation,C0851285,Regulation
44764,44764,regulation,C0851285,Regulation
44765,44765,negative,C0205160,Negative
44766,44766,regulation,C0851285,Regulation
44767,44767,regulation,C0851285,Regulation
44768,44768,regulation,C0851285,Regulation
44769,44769,suppression,C0221103,Visual Suppression
44770,44770,modulation,C0443264,Modulated
44771,44771,modulation,C0443264,Modulated
44772,44772,negative,C0205160,Negative
44773,44773,negative,C0205160,Negative
44774,44774,regulation,C0851285,Regulation
44775,44775,regulation,C0851285,Regulation
44776,44776,negative,C0205160,Negative
44777,44777,regulation,C0851285,Regulation
44778,44778,regulation,C0851285,Regulation
44779,44779,regulation,C0851285,Regulation
44780,44780,regulation,C0851285,Regulation
44781,44781,regulation,C0851285,Regulation
44782,44782,regulation,C0851285,Regulation
44783,44783,negative,C0205160,Negative
44784,44784,regulation,C0851285,Regulation
44785,44785,negative,C0205160,Negative
44786,44786,regulation,C0851285,Regulation
44787,44787,regulation,C0851285,Regulation
44788,44788,regulation,C0851285,Regulation
44789,44789,extracellular regulation,C0596286,Cell Growth Regulation
44790,44790,regulation,C0851285,Regulation
44791,44791,regulation,C0851285,Regulation
44792,44792,regulation,C0851285,Regulation
44793,44793,regulation,C0851285,Regulation
44794,44794,regulation,C0851285,Regulation
44795,44795,regulation,C0851285,Regulation
44796,44796,adaptation,C0000934,Acclimatization
44797,44797,regulation,C0851285,Regulation
44798,44798,regulation,C0851285,Regulation
44799,44799,regulation,C0851285,Regulation
44800,44800,regulation,C0851285,Regulation
44801,44801,regulation,C0851285,Regulation
44802,44802,regulation,C0851285,Regulation
44803,44803,regulation,C0851285,Regulation
44804,44804,regulation,C0851285,Regulation
44805,44805,regulation,C0851285,Regulation
44806,44806,modulation,C0443264,Modulated
44807,44807,negative,C0205160,Negative
44808,44808,regulation,C0851285,Regulation
44809,44809,regulation,C0851285,Regulation
44810,44810,regulation,C0851285,Regulation
44811,44811,regulation,C0851285,Regulation
44812,44812,negative,C0205160,Negative
44813,44813,negative,C0205160,Negative
44814,44814,regulation,C0851285,Regulation
44815,44815,regulation,C0851285,Regulation
44816,44816,regulation,C0851285,Regulation
44817,44817,regulation,C0851285,Regulation
44818,44818,regulation,C0851285,Regulation
44819,44819,regulation,C0851285,Regulation
44820,44820,negative,C0205160,Negative
44821,44821,regulation,C0851285,Regulation
44822,44822,regulation,C0851285,Regulation
44823,44823,regulation,C0851285,Regulation
44824,44824,regulation,C0851285,Regulation
44825,44825,regulation,C0851285,Regulation
44826,44826,regulation,C0851285,Regulation
44827,44827,positive,C1446409,Positive
44828,44828,regulation,C0851285,Regulation
44829,44829,positive,C1446409,Positive
44830,44830,regulation,C0851285,Regulation
44831,44831,positive,C1446409,Positive
44832,44832,positive,C1446409,Positive
44833,44833,regulation,C0851285,Regulation
44834,44834,regulation,C0851285,Regulation
44835,44835,regulation,C0851285,Regulation
44836,44836,regulation,C0851285,Regulation
44837,44837,regulation,C0851285,Regulation
44838,44838,negative,C0205160,Negative
44839,44839,negative,C0205160,Negative
44840,44840,negative,C0205160,Negative
44841,44841,negative,C0205160,Negative
44842,44842,negative,C0205160,Negative
44843,44843,negative,C0205160,Negative
44844,44844,negative,C0205160,Negative
44845,44845,negative,C0205160,Negative
44846,44846,negative,C0205160,Negative
44847,44847,negative,C0205160,Negative
44848,44848,negative,C0205160,Negative
44849,44849,negative,C0205160,Negative
44850,44850,negative,C0205160,Negative
44851,44851,negative,C0205160,Negative
44852,44852,negative,C0205160,Negative
44853,44853,negative,C0205160,Negative
44854,44854,negative,C0205160,Negative
44855,44855,negative,C0205160,Negative
44856,44856,negative,C0205160,Negative
44857,44857,negative,C0205160,Negative
44858,44858,regulation,C0851285,Regulation
44859,44859,negative,C0205160,Negative
44860,44860,negative,C0205160,Negative
44861,44861,negative,C0205160,Negative
44862,44862,negative,C0205160,Negative
44863,44863,negative,C0205160,Negative
44864,44864,regulation,C0851285,Regulation
44865,44865,negative,C0205160,Negative
44866,44866,negative,C0205160,Negative
44867,44867,purine,C0034140,Purines
44868,44868,guanosine pentaphosphate,C0018348,Guanosine Pentaphosphate
44869,44869,GMP,C0018346,Guanosine Monophosphate
44870,44870,purine ribonucleoside,C0068476,nebularine
44871,44871,AMP,C0001465,adenosine monophosphate
44872,44872,IMP,C0021533,Inosine Monophosphate
44873,44873,metabolic,C0311400,Metabolic
44874,44874,3'-phosphoadenosine,C1323288,3'-phosphoadenosine 5'-phosphosulfate binding
44875,44875,XMP,C0078607,xanthosine monophosphate
44876,44876,cyclic purine nucleotide,C0034137,Purine Nucleotides
44877,44877,cAMP,C0001455,cyclic AMP
44878,44878,biosynthetic process,C0220781,Anabolism
44879,44879,ribonucleoside bisphosphate,C2247570,ribonucleoside bisphosphate biosynthetic process
44880,44880,purine,C0034140,Purines
44881,44881,cGMP,C0018338,Cyclic GMP
44882,44882,guanosine,C0018330,guanosine
44883,44883,coenzyme A,C0009226,coenzyme A
44884,44884,transcription factor,C0040648,TRANSCRIPTION FACTOR
44885,44885,catabolite,C0870255,catabolites
44886,44886,regulation,C0851285,Regulation
44887,44887,negative,C0205160,Negative
44888,44888,carbon,C0007009,Carbon
44889,44889,regulation,C0851285,Regulation
44890,44890,negative,C0205160,Negative
44891,44891,negative,C0205160,Negative
44892,44892,telomerase RNA localization,,
44893,44893,RNA,C0035668,RNA
44894,44894,regulation,C0851285,Regulation
44895,44895,regulation,C0851285,Regulation
44896,44896,positive,C1446409,Positive
44897,44897,regulation,C0851285,Regulation
44898,44898,positive,C1446409,Positive
44899,44899,regulation,C0851285,Regulation
44900,44900,regulation,C0851285,Regulation
44901,44901,positive,C1446409,Positive
44902,44902,regulation,C0851285,Regulation
44903,44903,positive,C1446409,Positive
44904,44904,regulation,C0851285,Regulation
44905,44905,positive,C1446409,Positive
44906,44906,regulation,C0851285,Regulation
44907,44907,positive,C1446409,Positive
44908,44908,regulation,C0851285,Regulation
44909,44909,positive,C1446409,Positive
44910,44910,regulation,C0851285,Regulation
44911,44911,regulation,C0851285,Regulation
44912,44912,regulation,C0851285,Regulation
44913,44913,positive,C1446409,Positive
44914,44914,regulation,C0851285,Regulation
44915,44915,positive,C1446409,Positive
44916,44916,regulation,C0851285,Regulation
44917,44917,positive,C1446409,Positive
44918,44918,mRNA modification,C1158730,mRNA modification
44919,44919,rRNA,C0035701,Ribosomal RNA
44920,44920,RNA,C0035668,RNA
44921,44921,primary,C0205225,Primary
44922,44922,miRNA,C1101610,MicroRNAs
44923,44923,regulation,C0851285,Regulation
44924,44924,regulation,C0851285,Regulation
44925,44925,response,C0871261,Response process
44926,44926,muscle cell,C0596981,Muscle Cells
44927,44927,cardiac cell,C0920751,Heart cell
44928,44928,cuticle chitin,C1157193,cuticle chitin biosynthetic process
44929,44929,chitin,C0008141,Chitin
44930,44930,chitin,C0008141,Chitin
44931,44931,post-embryonic,C1160453,post-embryonic development
44932,44932,genitalia morphogenesis,C1160098,genitalia morphogenesis
44933,44933,epithelial tube morphogenesis,C2752785,epithelial tube morphogenesis
44934,44934,eye morphogenesis,C1160254,eye morphogenesis
44935,44935,chaeta morphogenesis,C3269409,chaeta morphogenesis
44936,44936,regulation,C0851285,Regulation
44937,44937,negative,C0205160,Negative
44938,44938,positive,C1446409,Positive
44939,44939,metabolic process,C0025519,Metabolism
44940,44940,metabolic,C0311400,Metabolic
44941,44941,lactone,C0022947,Lactones
44942,44942,depsipeptide,C0796678,Depsipeptides
44943,44943,violaceol II,C3548075,violaceol II biosynthetic process
44944,44944,metabolic,C0311400,Metabolic
44945,44945,gerfelin,C1312197,"4-carboxy-5,5'-dihydroxy-3,3'-dimethyl-diphenylether"
44946,44946,fumonisin,C0304082,Fumonisins
44947,44947,cspyrone B1,C3547891,cspyrone B1 biosynthetic process
44948,44948,regulation,C0851285,Regulation
44949,44949,negative,C0205160,Negative
44950,44950,negative,C0205160,Negative
44951,44951,negative,C0205160,Negative
44952,44952,negative,C0205160,Negative
44953,44953,negative,C0205160,Negative
44954,44954,negative,C0205160,Negative
44955,44955,MAPK cascade,C0752319,MAP Kinase Cascade
44956,44956,stress-activated protein kinase,C0380051,stress-activated protein kinase 1
44957,44957,regulation,C0851285,Regulation
44958,44958,autophagosome organization,C4235517,autophagosome organization
44959,44959,protein dephosphorylation,C1158884,Protein dephosphorylation
44960,44960,regulation,C0851285,Regulation
44961,44961,regulation,C0851285,Regulation
44962,44962,negative,C0205160,Negative
44963,44963,positive,C1446409,Positive
44964,44964,regulation,C0851285,Regulation
44965,44965,regulation,C0851285,Regulation
44966,44966,DNA integrity,C0205266,Intact
44967,44967,signal transduction,C0037083,Signal Transduction
44968,44968,meiotic cell cycle,C1657605,meiotic cell cycle
44969,44969,regulation,C0851285,Regulation
44970,44970,regulation,C0851285,Regulation
44971,44971,regulation,C0851285,Regulation
44972,44972,anterior/posterior axis specification,C1160426,anterior/posterior axis specification
44973,44973,regulation,C0851285,Regulation
44974,44974,negative,C0205160,Negative
44975,44975,regulation,C0851285,Regulation
44976,44976,positive,C1446409,Positive
44977,44977,regulation,C0851285,Regulation
44978,44978,positive,C1446409,Positive
44979,44979,response,C0871261,Response process
44980,44980,cognition,C0009240,Cognition
44981,44981,response,C0871261,Response process
44982,44982,rhythmic process,C1523018,rhythmic process (biological)
44983,44983,regulation,C0851285,Regulation
44984,44984,regulation,C0851285,Regulation
44985,44985,regulation,C0851285,Regulation
44986,44986,regulation,C0851285,Regulation
44987,44987,regulation,C0851285,Regulation
44988,44988,regulation,C0851285,Regulation
44989,44989,regulation,C0851285,Regulation
44990,44990,regulation,C0851285,Regulation
44991,44991,regulation,C0851285,Regulation
44992,44992,regulation,C0851285,Regulation
44993,44993,regulation,C0851285,Regulation
44994,44994,modulation,C0443264,Modulated
44995,44995,regulation,C0851285,Regulation
44996,44996,regulation,C0851285,Regulation
44997,44997,negative,C0205160,Negative
44998,44998,regulation,C0851285,Regulation
44999,44999,modulation,C0443264,Modulated
45000,45000,regulation,C0851285,Regulation
45001,45001,regulation,C0851285,Regulation
45002,45002,regulation,C0851285,Regulation
45003,45003,regulation,C0851285,Regulation
45004,45004,regulation,C0851285,Regulation
45005,45005,regulation,C0851285,Regulation
45006,45006,regulation,C0851285,Regulation
45007,45007,tropane,C0041177,Tropanes
45008,45008,glycosyl compound,C3547098,glycosyl compound biosynthetic process
45009,45009,nucleobase-containing small molecule catabolic,C2612774,nucleobase-containing small molecule catabolic process
45010,45010,catabolic,C0311402,catabolic
45011,45011,glycerol,C0017861,glycerin
45012,45012,catabolic,C0311402,catabolic
45013,45013,achromobactin,C0960904,achromobactin
45014,45014,membrane lipid,C0025249,Membrane Lipids
45015,45015,vitamin B6,C0034272,pyridoxine
45016,45016,amino-acid betaine,C1159460,amino-acid betaine transport
45017,45017,positive,C1446409,Positive
45018,45018,regulation,C0851285,Regulation
45019,45019,negative,C0205160,Negative
45020,45020,positive,C1446409,Positive
45021,45021,regulation,C0851285,Regulation
45022,45022,regulation,C0851285,Regulation
45023,45023,regulation,C0851285,Regulation
45024,45024,positive,C1446409,Positive
45025,45025,regulation,C0851285,Regulation
45026,45026,regulation,C0851285,Regulation
45027,45027,energy,C0424589,Vitality
45028,45028,aerobic respiration,C0282636,Cell Respiration
45029,45029,ammonia oxidation,C1158462,ammonia oxidation
45030,45030,anaerobic,C3641081,Anaerobic
45031,45031,pigment,C0031916,Pigment
45032,45032,pteridine-containing compound,C1157037,pteridine-containing compound biosynthetic process
45033,45033,metabolic,C0311400,Metabolic
45034,45034,anthocyanin-containing compound,C1157016,anthocyanin-containing compound metabolic process
45035,45035,phlobaphene,C0293382,phlobaphene
45036,45036,chlorophyll,C0008260,chlorophyll
45037,45037,porphyrin-containing compound,C3268849,porphyrin-containing compound metabolic process
45038,45038,heme,C0018966,Heme
45039,45039,purine,C0034140,Purines
45040,45040,nucleobase biosynthetic process,C1157096,nucleobase biosynthetic process
45041,45041,carotenoid,C0007271,Carotenoids
45042,45042,tetraterpenoid,C1157351,tetraterpenoid biosynthetic process
45043,45043,intermediate filament,C0021770,Intermediate Filaments
45044,45044,postsynaptic cytoskeleton,C4236576,postsynaptic cytoskeleton
45045,45045,(-)-microperfuranone,C3547229,(-)-microperfuranone biosynthetic process
45046,45046,alpha-copaene,C4043342,alpha-copaene
45047,45047,bicyclogermacrene,C3546839,bicyclogermacrene biosynthetic process
45048,45048,phosphate transport,C1159599,phosphate ion transport
45049,45049,cyclic nucleotide transport,C2753486,cyclic nucleotide transport
45050,45050,guanine nucleotide,C0018328,Guanine Nucleotides
